날짜	요일	가맹점명	지점코드	운영시간	총매출	카드매출	현금매출	배달매출	할인금액	순매출	총고객수	객단가	신규회원	재방문율(%)	피크타임고객수	아메리카노	카페라떼	바닐라라떼	카라멜마끼아또	콜드브루	논커피음료	디저트	MD상품	신메뉴	오전매출(7-12)	점심매출(12-14)	오후매출(14-18)	저녁매출(18-22)	원두재고(kg)	우유재고(박스)	시럽재고(병)	컵재고(개)	날씨	기온	근무인원	폐기량(잔)	특이사항
2025-10-04	토	강남역점	A001	14	477470	409703	67767	61690	21399	456071	77	6200	18	43	24	39	19	10	7	8	8	29	2	14	143241	133691	105043	95495	12	6	9	252	비	4	4	2	인근 행사로 유동인구 증가
2025-10-05	일	강남역점	A001	13	469814	436498	33316	66256	23220	446594	75	6264	13	45	23	38	18	10	6	8	8	16	0	13	140944	131547	103359	93964	10.7	5	8	192	눈	-2	2	6	
2025-10-06	월	강남역점	A001	14	1078887	1008039	70848	162558	42547	1036340	174	6200	11	45	51	90	44	24	16	20	20	10	2	3	409977	302088	237355	129467	7.7	3	7	550	맑음	3	4	8	인근 행사로 유동인구 증가
2025-10-07	화	강남역점	A001	13	808570	750070	58500	82483	40326	768244	130	6219	12	37	43	67	32	17	11	14	14	22	0	3	307256	226399	177885	97030	5.5	12	6	446	눈	-2	5	5	1+1 이벤트 진행
2025-10-08	수	강남역점	A001	12	1039381	965304	74077	134447	22904	1016477	167	6223	17	43	50	86	42	23	15	19	19	29	0	13	394964	291026	228663	124728	10	10	5	312	흐림	0	4	7	1+1 이벤트 진행
2025-10-09	목	강남역점	A001	12	928419	856946	71473	99885	35263	893156	149	6231	16	40	48	76	37	20	13	17	17	27	2	11	352799	259957	204252	111411	7.4	8	4	193	흐림	0	3	8	
2025-10-10	금	강남역점	A001	13	1321577	1200734	120843	196750	38402	1283175	213	6204	20	44	67	109	53	29	19	24	24	24	4	12	502199	370041	290746	158591	3.7	5	3	569	맑음	7	5	7	인근 행사로 유동인구 증가
2025-10-11	토	강남역점	A001	11	539724	480033	59691	64450	13520	526204	87	6203	5	38	28	45	22	12	8	10	10	21	3	12	161917	151122	118739	107946	12	4	11	499	눈	-2	4	8	
2025-10-12	일	강남역점	A001	12	429249	394712	34537	43535	11406	417843	69	6221	20	45	21	35	17	9	6	7	7	13	3	4	128774	120189	94434	85852	10.8	3	10	444	눈	-2	3	6	
2025-10-13	월	강남역점	A001	15	968174	897248	70926	177843	33954	934220	156	6206	9	36	46	80	39	21	14	17	17	26	4	6	367906	271088	212998	116182	8.1	15	9	319	흐림	0	5	2	
2025-10-14	화	강남역점	A001	15	1060492	917766	142726	165585	41357	1019135	171	6201	16	44	49	88	43	23	15	19	19	29	5	14	402986	296937	233308	127261	5.2	13	8	182	맑음	3	4	5	
2025-10-15	수	강남역점	A001	15	793396	706766	86630	134347	39388	754008	127	6247	9	40	35	65	32	17	11	14	14	19	2	11	301490	222150	174547	95209	3	11	7	431	눈	-2	5	8	직원 교육 진행
2025-10-16	목	강남역점	A001	14	929729	840952	88777	122082	41566	888163	149	6239	16	39	46	76	37	20	13	17	17	15	2	8	353297	260324	204540	111568	10	9	6	312	눈	-2	4	8	
2025-10-17	금	강남역점	A001	13	1072400	969546	102854	171663	38277	1034123	172	6234	9	35	56	88	43	23	15	19	19	16	3	15	407512	300272	235928	128688	7	7	5	175	비	4	4	6	SNS 바이럴 효과
2025-10-18	토	강남역점	A001	13	530604	474216	56388	82900	11921	518683	85	6242	5	40	26	43	21	11	7	9	9	15	3	3	159181	148569	116732	106122	5.5	6	4	423	눈	-2	2	2	
2025-10-19	일	강남역점	A001	12	464655	430329	34326	82718	10391	454264	74	6279	16	36	25	38	18	10	6	8	8	27	0	7	139396	130103	102224	92932	4.2	5	3	364	눈	-2	3	5	
2025-10-20	월	강남역점	A001	14	1126558	1008087	118471	168765	38810	1087748	181	6224	19	41	52	93	45	24	16	20	20	25	1	5	428092	315436	247842	135188	9	3	8	219	흐림	0	5	6	배달앱 프로모션 진행
2025-10-21	화	강남역점	A001	12	1341921	1196393	145528	211190	63332	1278589	216	6212	17	47	72	111	54	29	19	24	24	28	0	6	509929	375737	295222	161033	5.3	13	7	482	맑음	3	4	7	
2025-10-22	수	강남역점	A001	12	1016374	879464	136910	118597	34904	981470	163	6235	19	40	52	84	41	22	14	18	18	27	0	15	386222	284584	223602	121966	10	11	6	352	흐림	0	4	2	
2025-10-23	목	강남역점	A001	15	1202921	1052898	150023	215679	47971	1154950	194	6200	19	45	61	100	49	26	17	22	22	33	3	7	457109	336817	264642	144353	6.7	9	5	196	흐림	2	4	4	
2025-10-24	금	강남역점	A001	13	829191	719756	109435	93442	19664	809527	133	6234	11	47	36	68	33	18	12	15	15	28	3	7	315092	232173	182422	99504	4.4	7	4	521	눈	-2	4	6	배달앱 프로모션 진행
2025-10-25	토	강남역점	A001	11	811852	715186	96666	134151	35332	776520	130	6245	8	45	35	67	32	17	11	14	14	22	5	8	243555	227318	178607	162372	10	5	3	417	맑음	5	2	2	
2025-10-26	일	강남역점	A001	13	684595	607021	77574	68595	16519	668076	110	6223	18	41	35	56	27	15	10	12	12	35	0	8	205378	191686	150610	136921	8.1	3	11	329	흐림	0	4	3	인근 공사로 유동인구 감소
2025-10-27	월	강남역점	A001	14	1159467	1013882	145585	167690	55841	1103626	187	6200	5	41	47	96	47	25	17	21	21	16	3	6	440597	324650	255082	139138	4.9	11	10	179	맑음	5	5	7	
2025-10-28	화	강남역점	A001	15	1386272	1286749	99523	240624	46599	1339673	223	6216	19	40	74	115	56	30	20	25	25	16	0	11	526783	388156	304979	166354	9	8	9	573	맑음	5	3	5	신메뉴 출시 첫날
2025-10-29	수	강남역점	A001	14	1296110	1216948	79162	130349	26566	1269544	209	6201	8	37	54	108	52	28	19	24	24	23	0	13	492521	362910	285144	155535	5.4	6	8	405	맑음	7	3	4	
2025-10-30	목	강남역점	A001	13	1084650	1017239	67411	159732	22845	1061805	174	6233	20	40	43	90	44	24	16	20	20	25	2	14	412167	303702	238623	130158	12	4	7	265	흐림	2	4	6	에어컨 고장 수리
2025-10-31	금	강남역점	A001	13	1472877	1262670	210207	151280	71569	1401308	237	6214	8	48	74	122	59	32	21	27	27	17	3	5	559693	412405	324032	176747	7.9	12	6	417	맑음	5	4	2	SNS 바이럴 효과
2025-11-01	토	강남역점	A001	14	816363	699660	116703	104526	28071	788292	131	6231	17	40	38	67	33	18	12	15	15	12	2	3	244908	228581	179599	163275	5.7	10	5	312	맑음	3	4	4	
2025-11-02	일	강남역점	A001	12	627003	582074	44929	68413	23579	603424	101	6207	13	45	29	52	25	13	9	11	11	30	4	5	188100	175560	137940	125403	4	9	4	231	맑음	3	2	8	
2025-11-03	월	강남역점	A001	15	1137211	1035084	102127	114900	43926	1093285	183	6214	19	49	47	94	46	25	16	21	21	20	0	3	432140	318419	250186	136466	8	7	3	455	맑음	5	4	3	
2025-11-04	화	강남역점	A001	14	1147249	1083656	63593	203416	24796	1122453	185	6201	14	47	59	95	46	25	16	21	21	25	4	10	435954	321229	252394	137672	4.8	5	9	307	맑음	3	4	7	
2025-11-05	수	강남역점	A001	12	1180262	1084546	95716	186537	35712	1144550	190	6211	14	49	47	98	47	26	17	21	21	12	2	12	448499	330473	259657	141633	12	3	8	155	흐림	2	3	5	1+1 이벤트 진행
2025-11-06	목	강남역점	A001	14	995966	896533	99433	147953	40631	955335	160	6224	11	50	50	82	40	22	14	18	18	30	5	9	378467	278870	219112	119517	9.2	15	7	414	흐림	2	4	5	에어컨 고장 수리
2025-11-07	금	강남역점	A001	14	1288363	1180258	108105	219617	50353	1238010	207	6223	13	40	58	107	52	28	19	23	23	12	4	14	489577	360741	283439	154606	5.6	13	6	248	맑음	5	4	5	
2025-11-08	토	강남역점	A001	14	512177	457616	54561	55904	15219	496958	82	6246	14	41	26	42	20	11	7	9	9	28	3	15	153653	143409	112678	102437	4.2	12	5	183	눈	-2	4	7	
2025-11-09	일	강남역점	A001	10	575514	489619	85895	92586	11856	563658	92	6255	20	46	30	47	23	12	8	10	10	33	1	15	172654	161143	126613	115104	8	11	4	484	눈	-2	3	4	인근 행사로 유동인구 증가
2025-11-10	월	강남역점	A001	13	845612	788799	56813	119675	41440	804172	136	6217	5	39	41	70	34	18	12	15	15	28	1	12	321332	236771	186034	101475	5.7	9	3	375	비	4	5	2	신메뉴 출시 첫날
2025-11-11	화	강남역점	A001	12	1229975	1061039	168936	170744	26728	1203247	198	6211	18	42	68	102	49	27	18	22	22	18	0	11	467390	344393	270594	147598	12	7	11	217	맑음	3	4	2	
2025-11-12	수	강남역점	A001	13	1406042	1222398	183644	194570	55323	1350719	226	6221	16	46	56	116	56	31	20	25	25	34	4	4	534295	393691	309329	168727	8.1	4	10	537	맑음	3	4	5	
2025-11-13	목	강남역점	A001	14	1072971	916152	156819	174273	32728	1040243	173	6202	8	39	47	89	43	23	15	19	19	30	4	8	407728	300431	236053	128759	5.1	15	9	399	흐림	2	5	7	
2025-11-14	금	강남역점	A001	12	1046448	959755	86693	186833	50042	996406	168	6228	8	42	46	86	42	23	15	19	19	19	1	14	397650	293005	230218	125575	9	13	8	264	눈	-2	3	5	
2025-11-15	토	강남역점	A001	12	714854	663339	51515	122648	24751	690103	115	6216	11	40	30	59	29	15	10	13	13	25	4	6	214456	200159	157267	142972	7	11	7	172	맑음	5	4	6	직원 교육 진행
2025-11-16	일	강남역점	A001	13	802091	761813	40278	118023	22555	779536	129	6217	7	40	44	66	32	17	11	14	14	25	3	12	240627	224585	176460	160419	4.8	9	6	553	맑음	3	4	3	
2025-11-17	월	강남역점	A001	13	1276667	1177120	99547	236695	30827	1245840	205	6227	9	50	51	105	51	28	18	23	23	18	5	15	485133	357466	280866	153202	11	7	5	389	맑음	7	3	7	
2025-11-18	화	강남역점	A001	15	1243149	1112332	130817	188721	54089	1189060	200	6215	13	35	60	103	50	27	18	22	22	24	5	7	472396	348081	273492	149180	7.6	5	4	229	흐림	0	4	6	직원 교육 진행
2025-11-19	수	강남역점	A001	15	1100927	950899	150028	195855	49087	1051840	177	6219	14	37	44	91	44	24	16	20	20	26	3	11	418352	308259	242203	132113	4.6	3	3	540	맑음	3	4	3	
2025-11-20	목	강남역점	A001	13	1404381	1283754	120627	169881	39698	1364683	226	6214	17	43	76	116	56	31	20	25	25	17	3	4	533664	393226	308963	168528	8	11	12	359	맑음	7	5	6	
2025-11-21	금	강남역점	A001	15	1326892	1238894	87998	193202	63817	1263075	214	6200	13	42	57	110	54	29	19	24	24	26	2	14	504218	371529	291916	159229	4.3	8	11	187	흐림	2	3	4	인플루언서 방문
2025-11-22	토	강남역점	A001	14	850446	794069	56377	120518	28081	822365	137	6207	8	48	36	70	34	18	12	15	15	26	2	9	255133	238124	187098	170091	11	6	10	522	맑음	7	4	4	
2025-11-23	일	강남역점	A001	11	903110	838597	64513	133695	34721	868389	145	6228	7	41	37	74	36	19	13	16	16	29	2	6	270933	252870	198684	180623	8.5	4	9	406	맑음	5	2	4	1+1 이벤트 진행
2025-11-24	월	강남역점	A001	15	1324020	1194561	129459	151554	51127	1272893	213	6216	14	47	73	109	53	29	19	24	24	12	2	3	503127	370725	291284	158884	4.8	15	8	236	맑음	7	4	5	
2025-11-25	화	강남역점	A001	14	986132	856493	129639	187454	37231	948901	159	6202	20	48	45	81	40	21	14	18	18	16	2	5	374730	276116	216949	118337	8	13	7	558	비	4	4	8	
2025-11-26	수	강남역점	A001	15	1436504	1338374	98130	226677	63364	1373140	231	6218	15	38	63	119	58	31	21	26	26	24	3	10	545871	402221	316030	172382	4	10	6	373	맑음	7	3	8	인플루언서 방문
2025-11-27	목	강남역점	A001	15	811951	714096	97855	96564	31428	780523	130	6245	8	50	38	67	32	17	11	14	14	26	3	15	308541	227346	178629	97435	8	8	5	269	눈	-2	5	4	
2025-11-28	금	강남역점	A001	12	1204097	1128762	75335	193667	53397	1150700	194	6206	14	37	62	100	49	26	17	22	22	31	2	14	457556	337147	264901	144493	4.7	6	4	452	맑음	3	5	5	
2025-11-29	토	강남역점	A001	14	760119	720367	39752	83957	27346	732773	122	6230	14	42	37	63	30	16	11	14	14	21	1	11	228035	212833	167226	152025	8	4	3	354	맑음	7	3	4	인근 행사로 유동인구 증가
2025-11-30	일	강남역점	A001	12	738990	691115	47875	118361	33475	705515	119	6210	14	44	40	61	29	16	10	13	13	34	3	14	221697	206917	162577	147799	6	11	11	259	맑음	7	4	5	
2025-12-01	월	강남역점	A001	14	1303923	1237585	66338	223415	26639	1277284	210	6209	15	46	68	108	53	28	19	24	24	17	1	4	495490	365098	286863	156472	11	9	10	502	맑음	7	5	6	단체 주문 발생
