날짜	요일	가맹점명	지점코드	운영시간	총매출	카드매출	현금매출	배달매출	할인금액	순매출	총고객수	객단가	신규회원	재방문율(%)	피크타임고객수	아메리카노	카페라떼	바닐라라떼	카라멜마끼아또	콜드브루	논커피음료	디저트	MD상품	신메뉴	오전매출(7-12)	점심매출(12-14)	오후매출(14-18)	저녁매출(18-22)	원두재고(kg)	우유재고(박스)	시럽재고(병)	컵재고(개)	날씨	기온	근무인원	폐기량(잔)	특이사항
2025-09-13	토	잠실롯데월드점	D001	12	1560388	1367250	193138	132527	47872	1512516	283	5513	16	30	92	81	71	39	26	32	32	18	5	8	265265	546135	390097	358891	4.1	7	5	288	흐림	2	4	5	배달앱 프로모션 진행
2025-09-14	일	잠실롯데월드점	D001	14	1579058	1498499	80559	107329	63340	1515718	287	5501	13	24	78	82	72	39	26	33	33	19	5	4	268439	552670	394764	363185	9	4	4	156	흐림	2	2	2	인플루언서 방문
2025-09-15	월	잠실롯데월드점	D001	14	942468	805342	137126	55484	19749	922719	171	5511	17	22	46	49	43	23	15	19	19	25	4	4	235617	329863	235617	141371	6.1	12	3	519	흐림	2	4	6	인근 행사로 유동인구 증가
2025-09-16	화	잠실롯데월드점	D001	15	1125825	1047853	77972	73000	29497	1096328	204	5518	5	32	68	58	51	28	18	23	23	29	3	15	281456	394038	281456	168875	10	10	10	426	맑음	5	3	2	직원 교육 진행
2025-09-17	수	잠실롯데월드점	D001	15	1080852	999423	81429	54317	46392	1034460	196	5514	19	33	51	56	49	27	18	22	22	23	2	14	270213	378298	270213	162128	6.6	8	9	336	맑음	5	5	5	
2025-09-18	목	잠실롯데월드점	D001	15	1111786	1012404	99382	95619	35286	1076500	202	5503	5	34	68	58	51	27	18	23	23	25	1	7	277946	389125	277946	166769	3.1	6	8	244	흐림	0	5	6	인플루언서 방문
2025-09-19	금	잠실롯데월드점	D001	15	926274	871320	54954	129597	43584	882690	168	5513	8	27	52	48	42	23	15	19	19	13	1	3	231568	324195	231568	138943	11	4	7	167	흐림	2	5	8	
2025-09-20	토	잠실롯데월드점	D001	11	1469415	1382365	87050	109100	51165	1418250	267	5503	14	32	89	76	67	36	24	30	30	13	4	10	249800	514295	367353	337967	6.4	10	6	515	흐림	2	4	3	
2025-09-21	일	잠실롯데월드점	D001	12	1185850	1050644	135206	103453	56120	1129730	215	5515	12	26	72	61	54	29	19	24	24	12	5	9	201594	415047	296462	272747	9	7	5	417	비	4	3	6	인근 공사로 유동인구 감소
2025-09-22	월	잠실롯데월드점	D001	12	815642	702156	113486	62330	34357	781285	148	5511	14	27	43	42	37	20	13	17	17	35	4	15	203910	285474	203910	122348	6.5	5	4	349	흐림	0	5	4	인근 행사로 유동인구 증가
2025-09-23	화	잠실롯데월드점	D001	14	1005961	873756	132205	113979	46768	959193	182	5527	17	34	56	52	45	25	16	20	20	32	0	4	251490	352086	251490	150895	3.4	3	3	266	비	4	5	3	
2025-09-24	수	잠실롯데월드점	D001	15	601083	524666	76417	52082	24534	576549	109	5514	13	35	37	31	27	15	10	12	12	27	4	12	150270	210379	150270	90164	12	13	9	216	눈	-2	4	5	인플루언서 방문
2025-09-25	목	잠실롯데월드점	D001	15	1211492	1110962	100530	129598	48646	1162846	220	5506	7	34	74	63	55	30	20	25	25	20	5	9	302873	424022	302873	181724	8.2	10	8	598	맑음	5	3	8	배달앱 프로모션 진행
2025-09-26	금	잠실롯데월드점	D001	14	1473204	1393916	79288	124590	62684	1410520	267	5517	6	27	76	76	67	36	24	30	30	28	4	6	368301	515621	368301	220981	3.6	7	7	476	맑음	3	5	7	
2025-09-27	토	잠실롯데월드점	D001	11	2094860	1784103	310757	149683	71211	2023649	380	5512	9	32	97	109	95	52	34	43	43	18	0	11	356126	733201	523715	481818	8	3	6	302	맑음	7	4	6	
2025-09-28	일	잠실롯데월드점	D001	14	1472048	1336942	135106	125426	36468	1435580	267	5513	17	35	81	76	67	36	24	30	30	22	1	14	250248	515216	368012	338572	3.4	10	5	180	비	4	2	5	
2025-09-29	월	잠실롯데월드점	D001	12	922688	847366	75322	47503	44008	878680	167	5525	18	26	54	48	42	23	15	19	19	32	3	9	230672	322940	230672	138404	8	8	4	448	맑음	3	4	2	
2025-09-30	화	잠실롯데월드점	D001	14	620375	558078	62297	77729	29152	591223	112	5539	20	32	38	32	28	15	10	12	12	29	3	5	155093	217131	155093	93058	6.1	6	3	397	비	4	3	2	
2025-10-01	수	잠실롯데월드점	D001	12	1117150	1029528	87622	167555	37205	1079945	203	5503	14	21	56	58	51	27	18	23	23	15	1	14	279287	391002	279287	167574	8	4	8	304	흐림	2	3	3	
2025-10-02	목	잠실롯데월드점	D001	13	1083241	933543	149698	153574	24507	1058734	196	5526	13	28	53	56	49	27	18	22	22	12	5	5	270810	379134	270810	162487	4.6	12	7	214	흐림	2	3	3	인플루언서 방문
2025-10-03	금	잠실롯데월드점	D001	12	1264407	1141126	123281	130390	53853	1210554	229	5521	14	33	58	65	57	31	21	26	26	31	1	15	316101	442542	316101	189663	12	9	6	435	맑음	5	3	8	
2025-10-04	토	잠실롯데월드점	D001	11	1568094	1372771	195323	187994	72533	1495561	285	5502	15	22	83	81	71	39	26	32	32	35	1	10	266575	548832	392023	360664	7.1	6	5	305	맑음	7	4	7	
2025-10-05	일	잠실롯데월드점	D001	13	1687239	1556511	130728	147403	60938	1626301	306	5513	17	33	91	87	77	42	28	35	35	14	2	4	286830	590533	421809	388067	12	3	4	165	흐림	0	2	5	1+1 이벤트 진행
2025-10-06	월	잠실롯데월드점	D001	15	1041196	954656	86540	109496	48691	992505	189	5508	7	29	48	54	47	26	17	21	21	10	0	4	260299	364418	260299	156180	8.7	11	3	488	맑음	3	5	2	
2025-10-07	화	잠실롯데월드점	D001	13	1083559	1013855	69704	98796	26835	1056724	197	5500	17	32	63	56	49	27	18	22	22	35	3	6	270889	379245	270889	162536	5.3	9	9	398	맑음	7	4	6	직원 교육 진행
2025-10-08	수	잠실롯데월드점	D001	15	730342	660987	69355	60059	31451	698891	132	5532	18	34	39	37	33	18	12	15	15	26	1	6	182585	255619	182585	109553	3	7	8	338	눈	-2	5	5	인근 행사로 유동인구 증가
2025-10-09	목	잠실롯데월드점	D001	15	1338335	1159727	178608	112855	62279	1276056	243	5507	20	21	70	69	61	33	22	27	27	21	2	10	334583	468417	334583	200752	12	4	7	227	맑음	7	4	2	인플루언서 방문
2025-10-10	금	잠실롯데월드점	D001	14	1534973	1413444	121529	227783	50894	1484079	279	5501	12	33	87	80	70	38	25	32	32	17	3	9	383743	537240	383743	230247	7.2	15	6	446	맑음	7	3	4	단체 주문 발생
2025-10-11	토	잠실롯데월드점	D001	14	930152	868991	61161	130975	20323	909829	169	5503	5	35	57	48	42	23	15	19	19	27	2	5	158125	325553	232538	213936	4.3	13	5	369	비	4	4	8	인근 행사로 유동인구 증가
2025-10-12	일	잠실롯데월드점	D001	11	873573	810473	63100	55323	32563	841010	158	5528	8	30	40	45	39	21	14	18	18	29	3	11	148507	305750	218393	200923	9	11	4	297	눈	-2	2	3	
2025-10-13	월	잠실롯데월드점	D001	15	729097	688203	40894	87603	22099	706998	132	5523	11	24	45	37	33	18	12	15	15	11	5	13	182274	255183	182274	109366	6.7	9	3	237	흐림	0	3	8	
2025-10-14	화	잠실롯데월드점	D001	14	1219637	1087307	132330	98738	42530	1177107	221	5518	13	26	75	63	55	30	20	25	25	20	5	13	304909	426872	304909	182947	9	6	12	579	맑음	5	5	8	인플루언서 방문
2025-10-15	수	잠실롯데월드점	D001	12	1210821	1127649	83172	176059	30386	1180435	220	5503	12	27	67	63	55	30	20	25	25	22	2	14	302705	423787	302705	181624	5.2	3	11	479	맑음	7	5	5	인근 행사로 유동인구 증가
2025-10-16	목	잠실롯데월드점	D001	14	867662	780561	87101	63789	43288	824374	157	5526	8	27	45	45	39	21	14	18	18	33	5	15	216915	303681	216915	130151	9	14	10	407	눈	-2	5	2	인근 행사로 유동인구 증가
2025-10-17	금	잠실롯데월드점	D001	12	1194295	1053652	140643	68051	58870	1135425	217	5503	8	21	69	62	54	29	19	24	24	10	3	12	298573	418003	298573	179146	5.3	11	9	308	흐림	0	3	7	
2025-10-18	토	잠실롯데월드점	D001	13	1448428	1324597	123831	147720	67252	1381176	263	5507	5	29	86	75	66	36	24	30	30	26	0	6	246232	506949	362107	333140	9	8	8	188	흐림	0	2	8	
2025-10-19	일	잠실롯데월드점	D001	13	1505476	1333171	172305	203322	40895	1464581	273	5514	20	26	80	78	68	37	25	31	31	26	5	13	255930	526916	376369	346261	4.3	5	7	544	맑음	3	3	3	인근 행사로 유동인구 증가
2025-10-20	월	잠실롯데월드점	D001	13	1114418	989172	125246	158079	47024	1067394	202	5516	5	32	61	58	51	27	18	23	23	19	2	11	278604	390046	278604	167164	12	3	6	452	맑음	5	3	6	SNS 바이럴 효과
2025-10-21	화	잠실롯데월드점	D001	13	1200852	1116166	84686	65610	34436	1166416	218	5508	10	22	76	62	55	30	20	25	25	11	5	11	300213	420298	300213	180128	8.3	10	5	352	맑음	7	4	5	
2025-10-22	수	잠실롯데월드점	D001	14	1255784	1183990	71794	109181	49226	1206558	228	5507	7	25	60	65	57	31	20	26	26	12	1	15	313946	439524	313946	188368	4.4	7	4	248	맑음	7	3	4	단체 주문 발생
2025-10-23	목	잠실롯데월드점	D001	15	1218733	1042466	176267	122269	55173	1163560	221	5514	19	30	65	63	55	30	20	25	25	10	4	8	304683	426556	304683	182811	10	4	3	404	맑음	5	5	3	
2025-10-24	금	잠실롯데월드점	D001	12	710439	661643	48796	96160	33280	677159	129	5507	12	25	39	37	32	17	11	14	14	10	0	12	177609	248653	177609	106568	7.8	15	11	345	눈	-2	5	7	
2025-10-25	토	잠실롯데월드점	D001	10	1208106	1114936	93170	91069	49062	1159044	219	5516	18	34	65	62	55	30	20	25	25	30	2	12	205378	422837	302026	277865	4	12	10	245	흐림	2	2	8	인근 공사로 유동인구 감소
2025-10-26	일	잠실롯데월드점	D001	12	1392508	1264876	127632	199977	56502	1336006	253	5503	13	27	80	72	63	34	23	29	29	16	0	6	236726	487377	348127	320278	10	9	9	559	맑음	7	2	4	
2025-10-27	월	잠실롯데월드점	D001	13	955005	814513	140492	78763	28870	926135	173	5520	14	31	51	49	43	23	15	19	19	35	4	14	238751	334251	238751	143252	7	7	8	480	비	4	5	4	
2025-10-28	화	잠실롯데월드점	D001	15	791827	714610	77217	70562	39468	752359	143	5537	18	28	37	41	36	19	13	16	16	27	2	12	197956	277139	197956	118776	4.5	5	7	415	흐림	2	5	8	SNS 바이럴 효과
2025-10-29	수	잠실롯데월드점	D001	14	1206006	1097680	108326	156512	35891	1170115	219	5506	17	33	65	62	55	30	20	25	25	12	0	10	301501	422102	301501	180902	8	14	6	315	맑음	5	5	3	직원 교육 진행
2025-10-30	목	잠실롯데월드점	D001	15	1015573	870036	145537	124756	30466	985107	184	5519	12	33	51	52	46	25	16	21	21	14	0	12	253893	355450	253893	152337	4.8	12	5	231	비	4	5	4	
2025-10-31	금	잠실롯데월드점	D001	14	1321634	1165210	156424	137202	32702	1288932	240	5506	16	34	70	69	60	33	22	27	27	21	0	5	330408	462571	330408	198247	9	9	4	422	흐림	2	4	5	인플루언서 방문
2025-11-01	토	잠실롯데월드점	D001	11	1257357	1157343	100014	78244	35956	1221401	228	5514	8	24	63	65	57	31	20	26	26	32	5	13	213750	440074	314339	289194	5.1	6	3	318	맑음	3	4	6	SNS 바이럴 효과
2025-11-02	일	잠실롯데월드점	D001	14	1426870	1350317	76553	93269	53416	1373454	259	5509	18	24	82	74	65	35	23	29	29	16	0	13	242567	499404	356717	328182	10	3	10	200	비	4	4	5	인플루언서 방문
2025-11-03	월	잠실롯데월드점	D001	15	1092101	1034034	58067	65527	37070	1055031	198	5515	12	27	68	56	49	27	18	22	22	10	2	11	273025	382235	273025	163816	6.6	11	9	408	맑음	7	5	7	
2025-11-04	화	잠실롯데월드점	D001	13	954932	859370	95562	104420	31541	923391	173	5519	18	22	45	49	43	23	15	19	19	13	2	14	238733	334226	238733	143240	3.6	9	8	329	맑음	5	5	8	배달앱 프로모션 진행
2025-11-05	수	잠실롯데월드점	D001	15	1070479	1003995	66484	132428	42715	1027764	194	5517	16	20	63	55	49	26	17	22	22	18	0	8	267619	374667	267619	160574	8	7	7	240	흐림	2	4	4	
2025-11-06	목	잠실롯데월드점	D001	14	992559	923550	69009	61936	20776	971783	180	5514	8	35	55	51	45	24	16	20	20	29	5	6	248139	347395	248139	148886	4.9	5	6	158	맑음	5	3	6	인근 행사로 유동인구 증가
2025-11-07	금	잠실롯데월드점	D001	15	1372413	1272207	100206	100201	38923	1333490	249	5511	17	22	78	71	62	34	22	28	28	13	1	8	343103	480344	343103	205863	9	14	5	412	흐림	2	5	6	
2025-11-08	토	잠실롯데월드점	D001	10	2167429	1911886	255543	114107	49586	2117843	394	5501	15	34	110	113	99	54	36	45	45	12	3	14	368462	758600	541857	498510	8	10	4	231	맑음	5	3	3	
2025-11-09	일	잠실롯데월드점	D001	14	2058527	1901731	156796	198585	92631	1965896	374	5504	20	26	126	107	94	51	34	43	43	32	5	6	349949	720484	514631	473463	8	6	3	516	맑음	5	3	7	에어컨 고장 수리
2025-11-10	월	잠실롯데월드점	D001	15	965281	885909	79372	86696	31508	933773	175	5515	8	32	56	50	44	24	16	20	20	16	3	9	241320	337848	241320	144793	5	4	12	436	비	4	4	8	배달앱 프로모션 진행
2025-11-11	화	잠실롯데월드점	D001	13	782247	674621	107626	93514	21111	761136	142	5508	6	24	37	40	35	19	13	16	16	18	2	13	195561	273786	195561	117339	10	11	11	371	비	4	5	2	
2025-11-12	수	잠실롯데월드점	D001	13	858379	756145	102234	95579	38966	819413	156	5502	7	30	40	44	39	21	14	17	17	18	5	11	214594	300432	214594	128759	7.3	9	10	300	맑음	3	3	2	
2025-11-13	목	잠실롯데월드점	D001	13	913801	812664	101137	77006	39214	874587	166	5504	8	29	54	47	41	22	15	19	19	11	5	3	228450	319830	228450	137071	4.4	7	9	224	눈	-2	5	7	
2025-11-14	금	잠실롯데월드점	D001	12	842387	783925	58462	72888	36183	806204	153	5505	8	20	52	43	38	21	14	17	17	13	2	3	210596	294835	210596	126360	12	5	8	154	흐림	0	5	4	1+1 이벤트 진행
2025-11-15	토	잠실롯데월드점	D001	11	2058106	1906709	151397	272928	67352	1990754	374	5502	19	23	94	107	94	51	34	43	43	24	5	6	349878	720337	514526	473365	5.6	15	7	562	맑음	7	2	3	에어컨 고장 수리
2025-11-16	일	잠실롯데월드점	D001	10	1789444	1565947	223497	111366	51952	1737492	325	5505	12	33	86	93	82	44	29	37	37	25	1	7	304205	626305	447361	411573	12	11	6	413	흐림	0	3	6	단체 주문 발생
2025-11-17	월	잠실롯데월드점	D001	14	1236404	1108935	127469	95724	25556	1210848	224	5519	17	30	58	64	56	30	20	25	25	28	4	13	309101	432741	309101	185461	8.1	8	5	311	맑음	7	3	5	
2025-11-18	화	잠실롯데월드점	D001	13	1248420	1096876	151544	89403	46510	1201910	226	5523	20	35	77	64	56	31	20	25	25	14	1	7	312105	436947	312105	187263	4.2	5	4	208	흐림	0	4	4	신메뉴 출시 첫날
2025-11-19	수	잠실롯데월드점	D001	14	1165181	1092227	72954	88536	32624	1132557	211	5522	9	34	66	60	53	29	19	24	24	11	5	7	291295	407813	291295	174778	8	15	3	400	맑음	3	3	8	
2025-11-20	목	잠실롯데월드점	D001	14	977381	861121	116260	133272	26228	951153	177	5521	16	35	61	50	44	24	16	20	20	31	2	8	244345	342083	244345	146608	5	13	12	319	눈	-2	3	3	
2025-11-21	금	잠실롯데월드점	D001	14	1182131	1055548	126583	108035	32242	1149889	214	5523	14	24	61	61	54	29	19	24	24	12	0	12	295532	413745	295532	177322	10	10	11	221	흐림	2	5	7	SNS 바이럴 효과
2025-11-22	토	잠실롯데월드점	D001	10	1734392	1533114	201278	216796	61619	1672773	315	5506	15	31	105	90	79	43	28	36	36	26	5	14	294846	607037	433598	398911	4.6	7	10	485	맑음	3	4	7	
2025-11-23	일	잠실롯데월드점	D001	13	988005	913404	74601	133246	25885	962120	179	5519	18	21	52	51	45	24	16	20	20	25	3	14	167960	345801	247001	227243	10	5	9	403	눈	-2	2	3	
2025-11-24	월	잠실롯데월드점	D001	15	1460771	1246564	214207	157735	35716	1425055	265	5512	7	31	70	76	66	36	24	30	30	16	0	8	365192	511269	365192	219118	5.4	11	8	282	맑음	7	3	4	
2025-11-25	화	잠실롯데월드점	D001	13	1027440	975533	51907	131399	48859	978581	186	5523	6	28	48	53	46	25	17	21	21	14	0	8	256860	359604	256860	154116	11	9	7	197	맑음	7	3	6	
2025-11-26	수	잠실롯데월드점	D001	13	961650	902167	59483	143343	35736	925914	174	5526	16	20	57	50	44	24	16	20	20	29	0	13	240412	336577	240412	144249	8	7	6	458	눈	-2	3	5	배달앱 프로모션 진행
2025-11-27	목	잠실롯데월드점	D001	14	1009818	915887	93931	107978	25126	984692	183	5518	9	23	63	52	46	25	16	21	21	31	4	7	252454	353436	252454	151474	4.9	5	5	374	맑음	7	3	2	
2025-11-28	금	잠실롯데월드점	D001	13	1469987	1364468	105519	197683	42603	1427384	267	5505	8	35	67	76	67	36	24	30	30	30	4	8	367496	514495	367496	220500	12	12	4	252	맑음	7	4	5	
2025-11-29	토	잠실롯데월드점	D001	14	2000675	1711086	289589	182177	77716	1922959	363	5511	13	32	93	104	91	50	33	41	41	28	5	14	340114	700236	500168	460157	5.7	8	3	585	맑음	7	3	8	단체 주문 발생
2025-11-30	일	잠실롯데월드점	D001	11	1425421	1332195	93226	157384	66354	1359067	259	5503	17	34	70	74	65	35	23	29	29	12	0	15	242321	498897	356355	327848	10	5	12	467	맑음	5	3	6	
2025-12-01	월	잠실롯데월드점	D001	13	983905	871827	112078	140515	39786	944119	178	5527	18	26	57	51	44	24	16	20	20	31	5	12	245976	344366	245976	147587	6.9	3	11	386	맑음	5	5	6	
